Service: hwrt, mapping: similar-0
Found 293 / 302 classes
Macro score: 255 classes with samples number >= 10
Recall scores:

| Class               |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
| \rrbracket          |        18 |  94.4 % |  94.4 % |  94.4 % |  94.4 % |  94.4 % |
| u                   |        18 |  77.8 % |  94.4 % |  94.4 % |  94.4 % |  94.4 % |
| \Downarrow          |        17 |  82.4 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \circlearrowleft    |        17 |  70.6 % |  82.4 % |  94.1 % |  94.1 % |  94.1 % |
| \mathcal{R}         |        17 |  58.8 % |  70.6 % |  76.5 % |  94.1 % |  94.1 % |
| \mathcal{Z}         |        17 |  64.7 % |  76.5 % |  82.4 % |  82.4 % |  82.4 % |
| \sun                |        17 |  82.4 % |  88.2 % |  88.2 % |  88.2 % |  88.2 % |
| \trianglelefteq     |        17 |  94.1 % |  94.1 % | 100.0 % | 100.0 % | 100.0 % |
| \asymp              |        16 |  81.2 % |  93.8 % |  93.8 % |  93.8 % |  93.8 % |
| \iota               |        16 |  68.8 % |  93.8 % |  93.8 % |  93.8 % |  93.8 % |
| \mathcal{B}         |        16 |  68.8 % |  75.0 % |  75.0 % |  75.0 % |  75.0 % |
| \mathfrak{A}        |        16 |  37.5 % |  56.2 % |  62.5 % |  68.8 % |  68.8 % |
| \rangle             |        16 |  75.0 % |  81.2 % |  81.2 % |  81.2 % |  81.2 % |
| \triangleright      |        16 |  81.2 % |  81.2 % |  87.5 % |  87.5 % |  87.5 % |
| \AE                 |        15 |  60.0 % |  73.3 % |  73.3 % |  73.3 % |  73.3 % |
| \Leftarrow          |        15 |  86.7 % |  93.3 % |  93.3 % |  93.3 % |  93.3 % |
| \circlearrowright   |        15 |  73.3 % |  80.0 % |  86.7 % |  86.7 % |  86.7 % |
| \nvDash             |        15 |  86.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \pounds             |        15 |  80.0 % |  80.0 % |  86.7 % |  86.7 % |  86.7 % |
| \rfloor             |        15 |  86.7 % |  93.3 % |  93.3 % |  93.3 % |  93.3 % |
| \searrow            |        15 |  93.3 % |  93.3 % |  93.3 % |  93.3 % |  93.3 % |
| \varkappa           |        15 |  46.7 % |  60.0 % |  80.0 % |  86.7 % |  86.7 % |
| \varpi              |        15 |  73.3 % |  86.7 % |  93.3 % |  93.3 % | 100.0 % |
| Z                   |        14 |  57.1 % |  78.6 % | 100.0 % | 100.0 % | 100.0 % |
| \Im                 |        14 |  50.0 % |  71.4 % |  71.4 % |  71.4 % |  71.4 % |
| \Vdash              |        14 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \boxdot             |        14 |  64.3 % |  71.4 % |  71.4 % |  71.4 % |  71.4 % |
| \mathscr{D}         |        14 |  64.3 % |  92.9 % |  92.9 % |  92.9 % | 100.0 % |
| \mathscr{F}         |        14 |  35.7 % |  50.0 % |  50.0 % |  50.0 % |  50.0 % |
| \rightrightarrows   |        14 |  71.4 % |  85.7 % |  92.9 % |  92.9 % |  92.9 % |
| \upharpoonright     |        14 |  85.7 % |  92.9 % |  92.9 % | 100.0 % | 100.0 % |
| \circledR           |        13 |  69.2 % |  76.9 % |  76.9 % |  76.9 % |  76.9 % |
| \flat               |        13 |  61.5 % |  76.9 % |  84.6 % |  92.3 % |  92.3 % |
| \mapsfrom           |        13 |  76.9 % |  92.3 % |  92.3 % |  92.3 % |  92.3 % |
| \rightleftarrows    |        13 |  92.3 % |  92.3 % |  92.3 % | 100.0 % | 100.0 % |
| -                   |        12 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| 1                   |        12 |  83.3 % |  83.3 % |  91.7 % |  91.7 % |  91.7 % |
| 2                   |        12 |  91.7 % |  91.7 % |  91.7 % |  91.7 % |  91.7 % |
| 3                   |        12 |  91.7 % |  91.7 % | 100.0 % | 100.0 % | 100.0 % |
| 8                   |        12 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| <                   |        12 |  66.7 % |  75.0 % |  75.0 % |  75.0 % |  75.0 % |
| G                   |        12 |  83.3 % |  91.7 % | 100.0 % | 100.0 % | 100.0 % |
| M                   |        12 |  91.7 % |  91.7 % | 100.0 % | 100.0 % | 100.0 % |
| \circledast         |        12 |  91.7 % |  91.7 % | 100.0 % | 100.0 % | 100.0 % |
| \circledcirc        |        12 |  66.7 % |  91.7 % |  91.7 % |  91.7 % |  91.7 % |
| \mathcal{G}         |        12 |  66.7 % |  66.7 % |  66.7 % |  75.0 % |  75.0 % |
| \mathfrak{X}        |        12 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{P}         |        12 |  16.7 % |  41.7 % |  41.7 % |  41.7 % |  41.7 % |
| \mp                 |        12 |  83.3 % |  91.7 % |  91.7 % |  91.7 % |  91.7 % |
| \pitchfork          |        12 |  91.7 % |  91.7 % |  91.7 % | 100.0 % | 100.0 % |
| J                   |        11 |  81.8 % |  90.9 % |  90.9 % |  90.9 % |  90.9 % |
| K                   |        11 |  90.9 % |  90.9 % |  90.9 % |  90.9 % |  90.9 % |
| L                   |        11 |  72.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| N                   |        11 |  72.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \barwedge           |        11 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \boxplus            |        11 |  63.6 % |  63.6 % |  63.6 % |  63.6 % |  63.6 % |
| \guillemotleft      |        11 |  90.9 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \leftmoon           |        11 |  72.7 % |  72.7 % |  72.7 % |  72.7 % |  72.7 % |
| \mathfrak{M}        |        11 |  63.6 % |  81.8 % |  81.8 % |  81.8 % |  81.8 % |
| \mathscr{E}         |        11 |  45.5 % |  72.7 % |  81.8 % |  81.8 % |  81.8 % |
| \multimap           |        11 |  72.7 % |  90.9 % | 100.0 % | 100.0 % | 100.0 % |
| \ominus             |        11 |  18.2 % |  45.5 % |  72.7 % |  81.8 % |  81.8 % |
| \sphericalangle     |        11 |  81.8 % |  81.8 % |  90.9 % |  90.9 % |  90.9 % |
| 6                   |        10 |  80.0 % |  90.0 % |  90.0 % |  90.0 % |  90.0 % |
| >                   |        10 |  60.0 % |  70.0 % |  70.0 % |  70.0 % |  70.0 % |
| I                   |        10 |  80.0 % |  80.0 % |  80.0 % |  80.0 % |  80.0 % |
| \L                  |        10 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \between            |        10 |  60.0 % |  90.0 % |  90.0 % |  90.0 % |  90.0 % |
| \gtrless            |        10 |  90.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \nRightarrow        |        10 |  80.0 % |  80.0 % |  80.0 % |  80.0 % |  80.0 % |
| \parr               |        10 |  90.0 % |  90.0 % |  90.0 % |  90.0 % |  90.0 % |
| +                   |         9 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| 7                   |         9 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| 9                   |         9 |  55.6 % |  88.9 % | 100.0 % | 100.0 % | 100.0 % |
| R                   |         9 |  88.9 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \frown              |         9 |  88.9 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| a                   |         9 |  88.9 % |  88.9 % |  88.9 % |  88.9 % |  88.9 % |
| 5                   |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| B                   |         8 |  87.5 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| P                   |         8 |  50.0 % |  50.0 % |  62.5 % |  75.0 % |  87.5 % |
| \mathbb{H}          |         8 |  62.5 % |  62.5 % |  62.5 % |  62.5 % |  62.5 % |
| \wr                 |         8 |  50.0 % |  75.0 % |  75.0 % |  75.0 % |  75.0 % |
| 4                   |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| H                   |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| Q                   |         7 |  85.7 % |  85.7 % |  85.7 % |  85.7 % |  85.7 % |
| \blacktriangleright |         7 |   0.0 % |  42.9 % |  57.1 % |  57.1 % |  57.1 % |
| e                   |         7 |  71.4 % |  85.7 % |  85.7 % |  85.7 % |  85.7 % |
| f                   |         7 |  57.1 % |  85.7 % |  85.7 % |  85.7 % |  85.7 % |
| n                   |         7 |  85.7 % |  85.7 % |  85.7 % |  85.7 % |  85.7 % |
| q                   |         7 |  85.7 % |  85.7 % |  85.7 % |  85.7 % |  85.7 % |
| r                   |         7 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| v                   |         7 |   0.0 % |  42.9 % |  42.9 % |  42.9 % |  42.9 % |
| x                   |         7 |  14.3 % |  42.9 % |  71.4 % |  71.4 % |  71.4 % |
| E                   |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| F                   |         6 |  66.7 % |  66.7 % |  83.3 % |  83.3 % |  83.3 % |
| W                   |         6 |  33.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| Y                   |         6 |  66.7 % |  83.3 % | 100.0 % | 100.0 % | 100.0 % |
| b                   |         6 |  66.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| d                   |         6 |  83.3 % |  83.3 % |  83.3 % | 100.0 % | 100.0 % |
