Service: hwrt, mapping: strict-0
Found 341 / 351 classes
Macro-scores: 291 classes with samples number >= 10
Recall scores:

| Class               |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
| \omega              |        63 |  95.2 % |  98.4 % |  98.4 % |  98.4 % |  98.4 % |
| \Phi                |        62 |  82.3 % |  87.1 % |  90.3 % |  91.9 % |  91.9 % |
| \triangleq          |        58 |  87.9 % |  96.6 % |  96.6 % |  96.6 % |  96.6 % |
| \psi                |        57 |  50.9 % |  96.5 % |  96.5 % |  98.2 % |  98.2 % |
| \ast                |        56 |  91.1 % |  94.6 % |  94.6 % |  96.4 % |  96.4 % |
| \lightning          |        56 |  87.5 % |  89.3 % |  89.3 % |  89.3 % |  91.1 % |
| \epsilon            |        55 |   0.0 % |  32.7 % |  56.4 % |  61.8 % |  63.6 % |
| /                   |        54 |  90.7 % |  94.4 % |  94.4 % |  94.4 % |  94.4 % |
| \hbar               |        53 |  98.1 % |  98.1 % |  98.1 % |  98.1 % |  98.1 % |
| \prec               |        53 |  90.6 % |  94.3 % |  96.2 % |  96.2 % |  96.2 % |
| \leftrightarrow     |        51 |  92.2 % |  98.0 % | 100.0 % | 100.0 % | 100.0 % |
| \odot               |        51 |  51.0 % |  88.2 % |  94.1 % |  96.1 % |  96.1 % |
| \blacksquare        |        50 |  96.0 % |  96.0 % |  96.0 % |  96.0 % |  96.0 % |
| \ni                 |        50 |  96.0 % |  96.0 % |  96.0 % |  96.0 % |  96.0 % |
| \S                  |        48 |  85.4 % |  89.6 % |  91.7 % |  91.7 % |  91.7 % |
| \Theta              |        47 |  76.6 % |  87.2 % |  91.5 % |  91.5 % |  91.5 % |
| \oiint              |        47 |  95.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \varnothing         |        47 |  23.4 % |  63.8 % |  83.0 % |  91.5 % |  93.6 % |
| \Psi                |        46 |  71.7 % |  93.5 % |  93.5 % |  93.5 % |  93.5 % |
| \Lambda             |        45 |  42.2 % |  75.6 % |  80.0 % |  80.0 % |  80.0 % |
| \tau                |        44 |  65.9 % |  86.4 % |  90.9 % |  93.2 % |  93.2 % |
| \lfloor             |        43 |  93.0 % |  95.3 % |  97.7 % |  97.7 % | 100.0 % |
| \mathbb{C}          |        42 |  95.2 % |  97.6 % |  97.6 % |  97.6 % |  97.6 % |
| \twoheadrightarrow  |        42 |  88.1 % |  90.5 % |  92.9 % |  95.2 % |  95.2 % |
| \Xi                 |        41 |  87.8 % |  95.1 % |  95.1 % |  95.1 % |  95.1 % |
| \leqslant           |        41 |  82.9 % |  95.1 % |  97.6 % |  97.6 % |  97.6 % |
| \supset             |        41 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \supseteq           |        41 |  92.7 % |  97.6 % |  97.6 % |  97.6 % |  97.6 % |
| \vdots              |        41 |  97.6 % |  97.6 % |  97.6 % |  97.6 % |  97.6 % |
