Service: detexify, mapping: none
Found 970 / 1077 classes
Macro-scores: 471 classes with samples number >= 10
Recall scores:

| Class                     |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
| \Uppsi                    |        18 |  27.8 % |  44.4 % |  55.6 % |  66.7 % |  77.8 % |
| \checked                  |        18 |  38.9 % |  72.2 % |  77.8 % |  77.8 % |  77.8 % |
| \dotsb                    |        18 |  88.9 % |  88.9 % |  88.9 % |  88.9 % |  88.9 % |
| \gvertneqq                |        18 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \lozenge                  |        18 |  27.8 % |  66.7 % |  83.3 % |  88.9 % |  88.9 % |
| \mathcal{R}               |        18 |  38.9 % |  66.7 % |  83.3 % |  88.9 % |  94.4 % |
| \mathfrak{n}              |        18 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{v}              |        18 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \star                     |        18 |  38.9 % |  50.0 % |  55.6 % |  66.7 % |  66.7 % |
| \textlambda               |        18 |  44.4 % |  55.6 % |  61.1 % |  66.7 % |  72.2 % |
| \textomega                |        18 |  44.4 % |  83.3 % |  94.4 % |  94.4 % |  94.4 % |
| \uparrow                  |        18 |  33.3 % |  72.2 % |  83.3 % |  88.9 % |  88.9 % |
| \upbeta                   |        18 |  27.8 % |  50.0 % |  83.3 % |  94.4 % |  94.4 % |
| \uplambda                 |        18 |   5.6 % |  22.2 % |  33.3 % |  50.0 % |  61.1 % |
| \because                  |        17 |  11.8 % |  11.8 % |  11.8 % |  11.8 % |  11.8 % |
| \dagger                   |        17 |  11.8 % |  23.5 % |  29.4 % |  58.8 % |  70.6 % |
| \ltimes                   |        17 |  76.5 % |  76.5 % |  82.4 % |  88.2 % |  94.1 % |
| \mathcal{H}               |        17 |  52.9 % |  64.7 % |  88.2 % |  88.2 % |  88.2 % |
| \mathcal{Z}               |        17 |  76.5 % |  82.4 % |  88.2 % |  94.1 % |  94.1 % |
| \mathds{E}                |        17 |  58.8 % |  76.5 % |  76.5 % |  76.5 % |  82.4 % |
| \ngeqq                    |        17 |   5.9 % |  23.5 % |  35.3 % |  88.2 % | 100.0 % |
| \nrightarrow              |        17 |  82.4 % |  82.4 % |  94.1 % |  94.1 % |  94.1 % |
| \rangle                   |        17 |  23.5 % |  82.4 % |  82.4 % |  82.4 % |  88.2 % |
| \rightharpoonup           |        17 |  82.4 % |  82.4 % |  82.4 % |  82.4 % |  82.4 % |
| \skull                    |        17 |  11.8 % |  11.8 % |  17.6 % |  17.6 % |  17.6 % |
| \spadesuit                |        17 |  70.6 % |  82.4 % |  88.2 % |  88.2 % |  88.2 % |
| \sqcup                    |        17 |  64.7 % |  94.1 % | 100.0 % | 100.0 % | 100.0 % |
| \textscripta              |        17 |  70.6 % |  94.1 % |  94.1 % | 100.0 % | 100.0 % |
| \upvarepsilon             |        17 |  11.8 % |  52.9 % |  76.5 % |  94.1 % | 100.0 % |
| \varoiint                 |        17 |  35.3 % |  82.4 % |  82.4 % |  82.4 % |  82.4 % |
| \Longrightarrow           |        16 |  43.8 % |  62.5 % |  68.8 % |  68.8 % |  68.8 % |
