Service: hwrt, mapping: none
Number of symbols: 368
Recall scores:

| Class               |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
| \mathfrak{A}        |        16 |  37.5 % |  56.2 % |  62.5 % |  68.8 % |  68.8 % |
| \varkappa           |        15 |  46.7 % |  60.0 % |  80.0 % |  86.7 % |  86.7 % |
| \dots               |        15 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \pounds             |        15 |  80.0 % |  80.0 % |  80.0 % |  86.7 % |  86.7 % |
| \varoiint           |        15 |  40.0 % |  86.7 % |  93.3 % |  93.3 % |  93.3 % |
| \nvDash             |        15 |  86.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \searrow            |        15 |  93.3 % |  93.3 % |  93.3 % |  93.3 % |  93.3 % |
| \Leftarrow          |        15 |  86.7 % |  93.3 % |  93.3 % |  93.3 % |  93.3 % |
| \circlearrowright   |        15 |  73.3 % |  86.7 % |  86.7 % |  86.7 % |  86.7 % |
| \varpi              |        15 |  73.3 % |  86.7 % |  93.3 % |  93.3 % | 100.0 % |
| \rfloor             |        15 |  86.7 % |  93.3 % |  93.3 % |  93.3 % |  93.3 % |
| \prime              |        15 |  40.0 % |  73.3 % |  86.7 % |  93.3 % |  93.3 % |
| \fullmoon           |        15 |   6.7 % |  26.7 % |  60.0 % |  66.7 % |  66.7 % |
| \AE                 |        15 |  60.0 % |  73.3 % |  73.3 % |  73.3 % |  73.3 % |
| C                   |        14 |  28.6 % |  64.3 % |  71.4 % |  71.4 % |  71.4 % |
| \triangleleft       |        14 |  71.4 % |  92.9 % |  92.9 % |  92.9 % |  92.9 % |
| \boxdot             |        14 |  64.3 % |  71.4 % |  71.4 % |  71.4 % |  71.4 % |
| \varpropto          |        14 |   0.0 % |  21.4 % |  42.9 % |  42.9 % |  42.9 % |
| \Vdash              |        14 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \rightrightarrows   |        14 |  71.4 % |  85.7 % |  92.9 % |  92.9 % |  92.9 % |
