Service: detexify, mapping: similar-0
Found 820 / 926 classes
Macro score: 376 classes with samples number >= 10
Recall scores:

| Class                     |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
| \Xi                       |        37 |  40.5 % |  81.1 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{A}               |        37 |  67.6 % |  78.4 % |  89.2 % |  91.9 % |  97.3 % |
| \wp                       |        37 |  81.1 % |  86.5 % |  97.3 % |  97.3 % |  97.3 % |
| \fint                     |        36 |  41.7 % |  72.2 % |  83.3 % |  91.7 % |  97.2 % |
| \supset                   |        36 |  88.9 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \supseteq                 |        34 |  73.5 % |  85.3 % | 100.0 % | 100.0 % | 100.0 % |
| \Psi                      |        33 |  30.3 % |  66.7 % |  72.7 % |  81.8 % |  90.9 % |
| \ddots                    |        33 |   3.0 % |   3.0 % |   3.0 % |   3.0 % |   3.0 % |
| \textsection              |        33 |  36.4 % |  72.7 % |  90.9 % |  93.9 % |  93.9 % |
| \vartheta                 |        33 |  72.7 % |  87.9 % |  87.9 % |  97.0 % |  97.0 % |
| \Frowny                   |        32 |  21.9 % |  53.1 % |  59.4 % |  62.5 % |  68.8 % |
| \mathbb{C}                |        32 |  37.5 % |  68.8 % |  90.6 % |  93.8 % | 100.0 % |
| \subsetneq                |        32 |  50.0 % |  71.9 % |  87.5 % |  87.5 % |  93.8 % |
| \upxi                     |        32 |   9.4 % |  18.8 % |  37.5 % |  40.6 % |  53.1 % |
| \nmid                     |        31 |  67.7 % |  80.6 % |  93.5 % |  93.5 % |  93.5 % |
| \succ                     |        31 |  90.3 % |  93.5 % | 100.0 % | 100.0 % | 100.0 % |
| \triangleleft             |        31 |  83.9 % |  93.5 % |  96.8 % |  96.8 % |  96.8 % |
| \aa                       |        30 |  80.0 % |  83.3 % |  83.3 % |  83.3 % |  83.3 % |
| \nexists                  |        29 |  86.2 % |  86.2 % |  89.7 % |  93.1 % |  93.1 % |
| \preceq                   |        29 |  93.1 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textordfeminine          |        29 |  72.4 % |  86.2 % |  93.1 % |  96.6 % |  96.6 % |
| \mathcal{F}               |        28 |  42.9 % |  71.4 % |  75.0 % |  78.6 % |  85.7 % |
| \}                        |        28 |  85.7 % |  96.4 % |  96.4 % |  96.4 % |  96.4 % |
| \Downarrow                |        27 |  96.3 % |  96.3 % |  96.3 % |  96.3 % |  96.3 % |
| \ae                       |        27 |  66.7 % |  81.5 % |  85.2 % |  85.2 % |  88.9 % |
| \asymp                    |        27 |  92.6 % |  92.6 % |  96.3 % |  96.3 % |  96.3 % |
| \female                   |        27 |  40.7 % |  77.8 % |  92.6 % |  96.3 % |  96.3 % |
| \textdollaroldstyle       |        27 |  55.6 % |  77.8 % |  88.9 % |  96.3 % | 100.0 % |
| \textvisiblespace         |        27 |  92.6 % |  96.3 % | 100.0 % | 100.0 % | 100.0 % |
| \bullet                   |        26 |  19.2 % |  23.1 % |  42.3 % |  42.3 % |  46.2 % |
| \div                      |        26 |  15.4 % |  26.9 % |  42.3 % |  42.3 % |  46.2 % |
| \mathcal{M}               |        26 |  73.1 % |  80.8 % |  92.3 % |  92.3 % | 100.0 % |
| \sqsubseteq               |        26 |  88.5 % |  96.2 % |  96.2 % |  96.2 % |  96.2 % |
| \upmu                     |        26 |  50.0 % |  69.2 % |  69.2 % |  73.1 % |  76.9 % |
| \uptau                    |        26 |  50.0 % |  73.1 % |  73.1 % |  76.9 % |  76.9 % |
| \ddagger                  |        25 |  52.0 % |  80.0 % |  96.0 % | 100.0 % | 100.0 % |
