Service: detexify
Number of symbols: 900
Accuracies:

| Class                     |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
| \geqslant                 |        35 |  77.1 % |  94.3 % |  94.3 % |  94.3 % |  94.3 % |
| \textlambda               |        35 |  20.0 % |  34.3 % |  48.6 % |  57.1 % |  60.0 % |
| \textsection              |        35 |  31.4 % |  62.9 % |  91.4 % |  91.4 % |  97.1 % |
| \tau                      |        35 |  17.1 % |  54.3 % |  60.0 % |  65.7 % |  65.7 % |
| \shortrightarrow          |        35 |  31.4 % |  48.6 % |  62.9 % |  74.3 % |  80.0 % |
| \Frowny                   |        35 |  17.1 % |  37.1 % |  51.4 % |  65.7 % |  65.7 % |
| \triangleq                |        35 |  88.6 % |  97.1 % | 100.0 % | 100.0 % | 100.0 % |
| \$                        |        35 |  20.0 % |  40.0 % |  60.0 % |  82.9 % |  91.4 % |
| \rangle                   |        35 |  74.3 % |  94.3 % |  97.1 % | 100.0 % | 100.0 % |
| \wp                       |        35 |  80.0 % |  80.0 % |  85.7 % |  91.4 % |  91.4 % |
| \textdegree               |        34 |  17.6 % |  32.4 % |  38.2 % |  44.1 % |  52.9 % |
| \|                        |        34 |  14.7 % |  38.2 % |  50.0 % |  73.5 % |  94.1 % |
| \textregistered           |        34 |  79.4 % |  94.1 % |  94.1 % |  94.1 % |  97.1 % |
| \supset                   |        34 |  85.3 % |  94.1 % | 100.0 % | 100.0 % | 100.0 % |
| \bigotimes                |        33 |  36.4 % |  60.6 % |  78.8 % |  84.8 % |  87.9 % |
| \textasteriskcentered     |        33 |  75.8 % |  90.9 % |  90.9 % |  90.9 % |  90.9 % |
| \textepsilon              |        33 |  36.4 % |  57.6 % |  72.7 % |  93.9 % |  97.0 % |
| \vdots                    |        33 |   3.0 % |   3.0 % |   3.0 % |   3.0 % |   3.0 % |
| \odot                     |        33 |  24.2 % |  36.4 % |  45.5 % |  54.5 % |  63.6 % |
| \bowtie                   |        33 |  57.6 % |  93.9 % |  93.9 % |  93.9 % |  93.9 % |
| \ast                      |        33 |  18.2 % |  36.4 % |  42.4 % |  42.4 % |  48.5 % |
| \subsetneq                |        33 |  57.6 % |  66.7 % |  72.7 % |  78.8 % |  78.8 % |
| \vDash                    |        33 |  18.2 % |  36.4 % |  51.5 % |  63.6 % |  78.8 % |
| \checked                  |        33 |  21.2 % |  60.6 % |  84.8 % |  90.9 % |  93.9 % |
| \celsius                  |        32 |  34.4 % |  68.8 % |  84.4 % |  96.9 % |  96.9 % |
| \Longrightarrow           |        32 |  43.8 % |  87.5 % |  90.6 % |  90.6 % |  90.6 % |
