Service: detexify
Number of symbols: 807
Accuracies:

| Class                     |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
| \upchi                    |        14 |  28.6 % |  28.6 % |  35.7 % |  57.1 % |  78.6 % |
| \o                        |        14 |   7.1 % |  35.7 % |  50.0 % |  78.6 % |  78.6 % |
| \celsius                  |        14 |  28.6 % |  64.3 % |  85.7 % | 100.0 % | 100.0 % |
| \mathcal{N}               |        14 |  42.9 % |  85.7 % |  92.9 % | 100.0 % | 100.0 % |
| \textestimated            |        14 |  57.1 % |  78.6 % |  85.7 % | 100.0 % | 100.0 % |
| \textonehalf              |        14 |  71.4 % |  85.7 % |  85.7 % |  85.7 % | 100.0 % |
| \textquotedblleft         |        14 |  64.3 % |  71.4 % |  92.9 % |  92.9 % |  92.9 % |
| \parallel                 |        14 |   7.1 % |  28.6 % |  64.3 % |  64.3 % |  64.3 % |
| \ohm                      |        14 |  14.3 % |  28.6 % |  42.9 % |  71.4 % |  85.7 % |
| \textepsilon              |        14 |  28.6 % |  35.7 % |  42.9 % |  64.3 % |  71.4 % |
| \Longrightarrow           |        14 |  35.7 % |  85.7 % |  92.9 % |  92.9 % | 100.0 % |
| \ae                       |        13 |  69.2 % |  69.2 % |  76.9 % |  76.9 % |  84.6 % |
| \textcopyright            |        13 |  92.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textordfeminine          |        13 |  46.2 % |  92.3 % |  92.3 % |  92.3 % |  92.3 % |
| \models                   |        13 |   7.7 % |  15.4 % |  30.8 % |  46.2 % |  76.9 % |
| \rangle                   |        13 |  53.8 % |  92.3 % |  92.3 % |  92.3 % |  92.3 % |
| \Lambda                   |        13 |  38.5 % |  53.8 % |  61.5 % |  69.2 % |  76.9 % |
| \textesh                  |        13 |  30.8 % |  53.8 % |  69.2 % |  84.6 % |  84.6 % |
| \oiint                    |        13 |  53.8 % |  92.3 % |  92.3 % |  92.3 % |  92.3 % |
| \Letter                   |        13 |  76.9 % |  84.6 % |  84.6 % |  92.3 % |  92.3 % |
| \ss                       |        13 |  38.5 % |  69.2 % |  92.3 % | 100.0 % | 100.0 % |
| \subsetneq                |        13 |  46.2 % |  61.5 % |  76.9 % |  92.3 % |  92.3 % |
| \S                        |        13 |  53.8 % |  53.8 % |  61.5 % |  84.6 % |  84.6 % |
| \texttildelow             |        13 |  15.4 % |  38.5 % |  53.8 % |  92.3 % | 100.0 % |
| \skull                    |        13 |  23.1 % |  23.1 % |  23.1 % |  23.1 % |  30.8 % |
| \mathscr{C}               |        13 |  69.2 % |  69.2 % |  84.6 % |  84.6 % |  92.3 % |
| \nexists                  |        13 |  92.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upxi                     |        13 |  30.8 % |  38.5 % |  38.5 % |  61.5 % |  76.9 % |
| \ast                      |        13 |   7.7 % |  69.2 % |  76.9 % |  76.9 % |  84.6 % |
| \clubsuit                 |        13 |  61.5 % |  76.9 % |  76.9 % |  76.9 % |  76.9 % |
| \dag                      |        12 |  41.7 % |  75.0 % |  75.0 % |  75.0 % |  91.7 % |
| \Yinyang                  |        12 |  83.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \spadesuit                |        12 |  50.0 % |  66.7 % |  66.7 % |  75.0 % |  75.0 % |
| \textdollaroldstyle       |        12 |  75.0 % |  91.7 % | 100.0 % | 100.0 % | 100.0 % |
| \textbackslash            |        12 |  58.3 % |  66.7 % |  83.3 % |  91.7 % |  91.7 % |
| \copyright                |        12 |   8.3 % |  41.7 % |  58.3 % |  91.7 % | 100.0 % |
| \diameter                 |        12 |  16.7 % |  33.3 % |  66.7 % |  75.0 % |  91.7 % |
| \textbeta                 |        12 |  50.0 % |  50.0 % |  66.7 % |  75.0 % |  91.7 % |
| \bigotimes                |        12 |  16.7 % |  50.0 % |  50.0 % |  58.3 % |  58.3 % |
| \longrightarrow           |        12 |   8.3 % |  16.7 % |  41.7 % |  58.3 % |  58.3 % |
| \textbraceleft            |        12 |  83.3 % |  91.7 % | 100.0 % | 100.0 % | 100.0 % |
| \textchi                  |        12 |  25.0 % |  33.3 % |  50.0 % |  75.0 % |  91.7 % |
| \Bowtie                   |        12 |  58.3 % |  83.3 % |  83.3 % |  83.3 % |  83.3 % |
| \Theta                    |        12 |  16.7 % |  41.7 % |  41.7 % |  50.0 % |  66.7 % |
| \mathds{E}                |        12 |  75.0 % |  83.3 % |  83.3 % |  83.3 % |  83.3 % |
| \texttrademark            |        12 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \uplambda                 |        12 |  50.0 % |  58.3 % |  66.7 % |  75.0 % |  75.0 % |
| \textasteriskcentered     |        12 |  75.0 % |  83.3 % |  83.3 % |  91.7 % |  91.7 % |
| \lozenge                  |        11 |  36.4 % |  54.5 % |  81.8 % |  90.9 % |  90.9 % |
| \nearrow                  |        11 |  27.3 % |  54.5 % |  63.6 % |  72.7 % |  72.7 % |
| \succ                     |        11 |  90.9 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{A}               |        11 |  54.5 % |  72.7 % |  81.8 % |  81.8 % | 100.0 % |
| \bigwedge                 |        11 |  45.5 % |  45.5 % |  81.8 % |  81.8 % | 100.0 % |
| \mathcal{C}               |        11 |  45.5 % |  81.8 % |  90.9 % |  90.9 % | 100.0 % |
| \circlearrowleft          |        11 |  27.3 % |  36.4 % |  45.5 % |  45.5 % |  45.5 % |
| \}                        |        11 |  36.4 % |  90.9 % |  90.9 % | 100.0 % | 100.0 % |
| \nrightarrow              |        11 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \iint                     |        11 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \searrow                  |        11 |  63.6 % |  63.6 % |  72.7 % |  81.8 % |  90.9 % |
| \mathscr{H}               |        11 |  54.5 % |  72.7 % |  72.7 % |  72.7 % | 100.0 % |
| \mathds{P}                |        11 |  63.6 % |  90.9 % |  90.9 % | 100.0 % | 100.0 % |
| \mathcal{P}               |        11 |  45.5 % |  54.5 % |  63.6 % |  72.7 % |  72.7 % |
| \nu                       |        11 |  27.3 % |  36.4 % |  45.5 % |  63.6 % |  90.9 % |
| \with                     |        10 |  80.0 % |  90.0 % |  90.0 % |  90.0 % | 100.0 % |
| \div                      |        10 |  10.0 % |  20.0 % |  30.0 % |  60.0 % |  70.0 % |
| \rrbracket                |        10 |  80.0 % |  90.0 % |  90.0 % |  90.0 % |  90.0 % |
| \varsubsetneq             |        10 |   0.0 % |  40.0 % |  40.0 % |  60.0 % |  70.0 % |
| \Ankh                     |        10 |  40.0 % |  60.0 % |  70.0 % |  70.0 % |  70.0 % |
| \dagger                   |        10 |  30.0 % |  30.0 % |  50.0 % |  60.0 % |  60.0 % |
| \$                        |        10 |  10.0 % |  40.0 % |  80.0 % |  80.0 % | 100.0 % |
| \texttwosuperior          |        10 |  40.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \aa                       |        10 |  90.0 % |  90.0 % |  90.0 % |  90.0 % |  90.0 % |
| \Uppsi                    |        10 |  10.0 % |  20.0 % |  40.0 % |  50.0 % |  60.0 % |
| \star                     |        10 |  50.0 % |  50.0 % |  60.0 % |  60.0 % |  60.0 % |
| \ltimes                   |        10 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \amalg                    |        10 |  40.0 % |  50.0 % |  70.0 % |  80.0 % |  90.0 % |
| \mathcal{B}               |        10 |  50.0 % |  50.0 % |  60.0 % |  80.0 % |  90.0 % |
| \mathscr{S}               |        10 |  80.0 % |  80.0 % |  80.0 % |  80.0 % |  80.0 % |
| \epsilon                  |        10 |  20.0 % |  30.0 % |  60.0 % |  80.0 % |  90.0 % |
| \shortrightarrow          |        10 |  30.0 % |  30.0 % |  50.0 % |  60.0 % |  70.0 % |
| \uparrow                  |        10 |  30.0 % |  70.0 % |  80.0 % |  90.0 % |  90.0 % |
| \sqcap                    |        10 |  80.0 % |  80.0 % |  90.0 % |  90.0 % |  90.0 % |
| \mathcal{T}               |        10 |  40.0 % |  60.0 % |  80.0 % |  80.0 % | 100.0 % |
| \thicksim                 |        10 |  20.0 % |  80.0 % |  90.0 % | 100.0 % | 100.0 % |
| \astrosun                 |         9 |  11.1 % |  22.2 % |  22.2 % |  22.2 % |  22.2 % |
| \ncong                    |         9 |  77.8 % |  88.9 % |  88.9 % |  88.9 % | 100.0 % |
| \Vdash                    |         9 |  33.3 % |  44.4 % |  44.4 % |  55.6 % |  77.8 % |
| \frownie                  |         9 |  33.3 % |  33.3 % |  44.4 % |  44.4 % |  44.4 % |
| \Uppi                     |         9 |  22.2 % |  22.2 % |  44.4 % |  55.6 % |  66.7 % |
| \coprod                   |         9 |  11.1 % |  33.3 % |  66.7 % |  88.9 % |  88.9 % |
| \bullet                   |         9 |   0.0 % |  11.1 % |  11.1 % |  11.1 % |  11.1 % |
| \textbullet               |         9 |  11.1 % |  11.1 % |  22.2 % |  22.2 % |  22.2 % |
| \bigcirc                  |         9 |   0.0 % |  33.3 % |  55.6 % |  77.8 % |  88.9 % |
| \Longleftrightarrow       |         9 |  44.4 % |  88.9 % |  88.9 % |  88.9 % |  88.9 % |
| \Lightning                |         9 |  22.2 % |  33.3 % |  66.7 % |  66.7 % |  66.7 % |
| \textpipe                 |         9 |   0.0 % |  33.3 % |  66.7 % | 100.0 % | 100.0 % |
| \iddots                   |         9 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \O                        |         9 |  11.1 % |  22.2 % |  33.3 % |  44.4 % |  66.7 % |
| \mathcal{X}               |         9 |  44.4 % |  55.6 % |  66.7 % |  77.8 % |  88.9 % |
| \preceq                   |         9 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \vartheta                 |         9 |  66.7 % |  88.9 % | 100.0 % | 100.0 % | 100.0 % |
| \Im                       |         9 |  44.4 % |  77.8 % |  77.8 % |  88.9 % |  88.9 % |
| \geqslant                 |         8 |  87.5 % |  87.5 % |  87.5 % |  87.5 % |  87.5 % |
| \rightharpoonup           |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \because                  |         8 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \textsca                  |         8 |  62.5 % |  75.0 % |  87.5 % | 100.0 % | 100.0 % |
| \sun                      |         8 |  62.5 % |  75.0 % |  75.0 % |  75.0 % |  75.0 % |
| \ominus                   |         8 |  12.5 % |  12.5 % |  50.0 % |  50.0 % |  50.0 % |
| \textmusicalnote          |         8 |  50.0 % |  50.0 % |  62.5 % |  75.0 % |  75.0 % |
| \nsubseteq                |         8 |  12.5 % |  75.0 % |  87.5 % |  87.5 % |  87.5 % |
| \Upsigma                  |         8 |  25.0 % |  37.5 % |  37.5 % |  50.0 % |  62.5 % |
