Service: detexify
Number of symbols: 863
Accuracies:

| Class                     |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
| \rightharpoonup           |        11 |  81.8 % |  81.8 % |  81.8 % |  81.8 % |  81.8 % |
| \textpm                   |        11 |  27.3 % |  36.4 % |  45.5 % |  54.5 % |  63.6 % |
| \mathcal{B}               |        11 |  45.5 % |  45.5 % |  54.5 % |  54.5 % |  72.7 % |
| \mathscr{S}               |        11 |  63.6 % |  81.8 % |  90.9 % |  90.9 % |  90.9 % |
| \nsubseteq                |        11 |  45.5 % |  45.5 % |  81.8 % |  90.9 % | 100.0 % |
| \EUR                      |        11 |   0.0 % |  18.2 % |  36.4 % |  54.5 % |  81.8 % |
| \because                  |        11 |   9.1 % |   9.1 % |   9.1 % |   9.1 % |   9.1 % |
| \Bowtie                   |        11 |  54.5 % |  90.9 % | 100.0 % | 100.0 % | 100.0 % |
| \textpilcrow              |        11 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \shortrightarrow          |        11 |  45.5 % |  63.6 % |  72.7 % |  81.8 % | 100.0 % |
| \Downarrow                |        11 |  90.9 % |  90.9 % |  90.9 % |  90.9 % |  90.9 % |
| \mathfrak{h}              |        11 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \succapprox               |        11 |   0.0 % |  27.3 % |  36.4 % |  54.5 % |  81.8 % |
| \textcrg                  |        11 |  81.8 % |  90.9 % |  90.9 % |  90.9 % |  90.9 % |
| \textcttctclig            |        11 |  45.5 % |  45.5 % |  45.5 % |  45.5 % |  45.5 % |
| \mathfrak{L}              |        11 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \textctdctzlig            |        11 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
